S/N,Job Title,Job Description,Agency,Department
181,Executive/Assistant Executive (Application Service Ops Section),"</strong></p>We are looking for a service-oriented individual to join the Mandai Operations Department which oversees the operation and maintenance of Government cemeteries, crematoria and columbaria.  You will be stationed at either Mandai Crematorium &amp; Columbarium or Choa Chu Kang Cemetery Complex and will play a key role in providing after-death care service.<p></p><p><strong> </strong></p><p>Job Requirements:</p><ul><li>Experience in Frontline E-services preferred</li><li>Prior working experience in customer service would be an advantage</li><li>Good Knowledge of Microsoft Office Applications</li><li>Willing to work in after-death care service environment</li><li>Mature, independent, responsible and resourceful</li><li>Tactful, approachable and patient</li><li>Meticulous and ability to multi-task</li><li>Ability to interact and foster teamwork</li><li>Communicate in a friendly manner and enjoy working with others </li><li>Good organisational and administrative skills</li><li>Willing to take initiatives</li><li>Willing to work on weekends and public holidays</li></ul><p></p><p>Applicants will be updated on the status of their applications within 4 weeks of the closing date of this job posting.</p> </strong></p><p>Your job responsibilities include:</p><ul><li>Attend to customers on applications for services provided at the Mandai Crematorium &amp; Columbarium or Choa Chu Kang Cemetery</li><li>Attend to public enquiries/requests made via telephone or email or in person</li><li>Review and process applications submitted by the applicant</li><li>Perform daily revenue collection checks and compile revenue reports</li><li>Perform administrative duties e.g., data entry, filing and sorting of documents</li><li>Carry out data analysis of cases received and processed when necessary</li><li>Perform other duties assigned by supervisor</li></ul><p></p><p></p><p><strong>",National Environment Agency,Administration Support
182,Senior Research Officer / Research Officer (Urban Entomology Section) - Contract,"</strong></p>You will work in Environmental Health Institute (EHI) and be a member of the Vector Biology &amp; Control Division.<br><br>We are looking for a self-driven and committed individual to augment our research and surveillance programmes at the Environmental Health Institute (EHI). If you enjoy working in a fast-paced, multi-disciplinary environment where your work outcomes are translated into evidence-based public health programmes and policies, we invite you to join us. You will be part of a dynamic team that works closely with a network of local and international collaborators to impact our public health landscape.<p></p><p><strong> </strong></p><ul><li>Degree in Life Sciences or related disciplines</li><li>Able to work independently and in a team</li><li>Able to systematically perform routine workflow with an eye for detail</li><li>Good interpersonal and communication skills</li><li>Good knowledge in Microsoft Office</li><li>Physically fit and possess the physical endurance for the challenges of field work</li><li>Valid Class 3 driver&#39;s licence (vehicle provided)</li></ul> </strong></p><p>The successful candidate will work in EHI and be part of a multi-disciplinary team that will focus on urban arthropod vector species in Singapore. You will have the chance to work with various inter-disciplinary teams. You will be involved in a myriad of entomology activities including, but not limited to: mosquito identification, sample processing, data entry, casual staff management, preparation and maintenance of logistics, vector surveillance and field studies.</p><p></p><p><strong>",National Environment Agency,"Sciences (e.g. life sciences, bio-technology etc.)"
183,Executive Engineer/Senior Engineer (Environment Technology Management Dept),"</strong></p>You will be part of a dynamic team responsible for planning, managing and coordinating research and development (R&amp;D) projects as well as technology innovation and exploitation initiatives to enhance NEA’s operational effectiveness and build new capabilities to meet Singapore’s environmental challenges. You will also collaborate with both internal and external stakeholders to operationalise and commercialise research outcomes from NEA’s various R&amp;D investments. This role will provide opportunities for you to engage, establish strong linkages and form effective partnerships with the academia, industry, and other government agencies.<p></p><p><strong> </strong></p><ul><li><p>Degree in Engineering preferably Electrical and Electronics, Mechanical or Environmental Engineering, with relevant work experience in environmental and technology management-related areas.</p></li><li><p>Good sense of ownership and responsibility with a strong drive for achieving results</p></li><li><p>Strong analytical, writing and consensus-building skills with the confidence to plan, organise, engage independently</p></li></ul><p></p><p>As part of the shortlisting process for this role, you may be required to complete a medical declaration and/or undergo further assessment.</p> </strong></p><p>Your responsibilities include, but are not limited to the following:</p><ul><li><p>Develop and manage R&amp;D projects and technology innovation projects in partnership with end user departments, institutes of higher learning, research institutions, industry partners and other stakeholders</p></li><li><p>Facilitate the operationalisation and commercialisation of NEA&#39;s R&amp;D outcomes and profile them through suitable platforms</p></li><li><p>Undertake technology scans and analysis of emerging technologies relevant to NEA’s operations</p></li><li><p>Develop and implement policies and initiatives that strengthen technology management practices, such as but not limited to Intellectual Property management and open innovation practices</p></li></ul><p></p><p></p><p><strong>",National Environment Agency,Engineering
184,Executive Manager (Capability and Programming Branch),"</strong></p>You will be part of the Capability &amp; Programming Branch (CPB) in Planning Capability Development Department (PCDD), which supports NEA’s role as the lead agency in planning and ensuring adequate supply of after-death facilities and services, including burial, cremation, columbarium, and ash scattering services. You will have the opportunity to actively engage industry stakeholders, religion organisations, Non-governmental Organisations (NGOs), Volunteer Welfare Organisations (VWOs) and work with internal and overseas stakeholders and various government agencies to strategise, plan and implement new and various initiatives to raise standards for the funeral services in Singapore.<p></p><p><strong> </strong></p><p>Requirements:</p><ul><li>5 years of relevant working experience in the areas of tender procurement work and tenancy management/ operations</li><li>Proficient in Microsoft Office Excel, e.g. toggling excel, functions, prepare creative presentations</li><li>Keen to take initiative and carry out plans</li><li>Communicate in a friendly manner and enjoy working with others</li><li>Enjoy thinking strategically, planning and applying analytical reasoning</li><li>Pay attention to the finer details</li><li>Organised and able to multi-task</li><li>Outgoing and pleasant personality</li><li>Mature, independent and resourceful</li><li>Self-driven and always ready to strive for improvement</li></ul> </strong></p><p>You and your team will be responsible for the following:</p><p></p><p><strong>Facility Management &amp; Operations</strong></p><ul><li>Study, formulate, and review management models for new after-death facilities and services to meet NEA&#39;s policy objectives whilst achieving sustainability and operational viability</li><li>Establish and review key performance indicators and requirements for performance management of operators</li><li>Oversee the day-to-day operations and maintenance standards of the Mount Vernon Funeral Parlour Complex</li></ul><p></p><p><strong>Procurement &amp; Contract Management</strong></p><ul><li>Plan, conduct, and evaluate Invitation to Quote (ITQ) and tenders for consultancy services and operators</li><li>Prepare and administer tenancy agreements and oversee business development activities</li><li>Manage contractor relationships and ensure compliance with service level agreements</li></ul><p></p><p><strong>Policy Development &amp; Stakeholder Engagement</strong></p><ul><li>Conduct process reviews and formulate guidelines with stakeholders to enhance standards and service delivery of funeral services providers and outsourced operators</li><li>Engage and collaborate with public sector agencies and private organisations, including religious organisations, associations, and institutions to develop joint solutions for after-death facilities and services</li><li>Build and maintain relationships with industry stakeholders to support policy implementation</li></ul><p></p><p><strong>",National Environment Agency,Others
185,Assistant Manager/Manager (Mandai Crematorium and Columbarium),"</strong></p>We are looking for a resourceful and service-oriented individual to join the Mandai Operations Department which oversees the operation and maintenance of Government cemeteries, crematoria and columbaria. You will be stationed at a crematorium at Mandai and will play a key role in providing after-death care services.<p></p><p><strong> </strong></p><p>Job Requirements:</p><ul><li>At least 3 years of relevant experience in the maintenance and management of building services &amp; equipment</li><li>Able to lead, interact and foster teamwork</li><li>Able to handle adverse situations and difficult customers</li><li>Good problem-solving, writing &amp; communication skills</li><li>Proficient in Microsoft Office Applications</li><li>Mature, independent, responsible and resourceful</li><li>Willing to work in after-life care service environment</li><li>Able and willing to work on weekends and public holidays</li></ul><p></p><p>Applicants will be updated on the status of their applications within 4 weeks of the closing date of this job posting.</p> </strong></p><p>Your job responsibilities include:</p><ul><li>Liaise with the existing construction and consultant team to oversee the progress of the construction works and upon building completion to take over the M&amp;E and building related structures in the various construction phases</li><li>Plan for and carry out procurement of office equipment, furniture and related assets</li><li>Plan and manage the maintenance programme of the Automatic Guided Vehicles, Cremators and Process Control Management System</li><li>Manage the daily operations and maintenance of the building facilities and M&amp;E systems of the complex</li><li>Manage the daily conservancy and landscaping work of the complex</li><li>Plan and execute work improvement projects such as periodic / cyclical Repair &amp; Redecoration work, structural maintenance and related work</li><li>Perform shift duties, as and when required, to lead a team of technical staff and operators in the safe and efficient operation of the crematorium equipment (e.g. Automatic Guided Vehicles and Cremators) as well as frontline troubleshooting and rectification of equipment faults</li><li>Handle and manage feedback</li><li>Perform other duties assigned by supervisor</li></ul><p></p><p><strong>",National Environment Agency,Building and Estate Management
186,Asst Engineering Manager (Landfill Management and Operations Dept) - Contract,"</strong></p>Landfill Management and Operations Department (LMOD) oversees Semakau Landfill which is Singapore’s only landfill for waste disposal.<p></p><p><strong> </strong></p><ul><li><p>At least a diploma in any engineering discipline as recognised by the Professional Engineer Board.</p></li><li><p>At least 3 years of working experience in construction, waste management or facility management industry.</p></li><li><p>Candidate with procurement experience and contract management experience is preferred.</p></li><li><p>Possess good interpersonal and communication skills</p></li><li><p>Good analytical and problem-solving skills</p></li><li><p>Able to work independently with minimal supervision</p></li><li><p>Able to work in harsh environment/conditions</p></li><li><p>Willing and able to be deployed at both locations (TMTS and SL)</p></li><li><p>As part of the shortlisting process for this role, you may be required to complete a medical declaration and/or undergo further assessment.</p></li></ul> </strong></p><p>The job description of an AEM at Semakau Landfill (SL) and Tuas Marine Transfer Station (TMTS) are as follows:</p><ul><li><p>To assist the engineer in overseeing and ensuring safe waste receiving operations at TMTS &amp; SL slipway</p></li><li><p>To coordinate operational and safety matters with TMTS/SL stakeholders to ensure operations at TMTS/SL such as landfill, O&amp;M of M&amp;E equipment, O&amp;M of tugs &amp; barges (T&amp;B) are conducted according to plan.</p></li><li><p>To supervise contractors in carrying out the work/services on site. Ensuring that all work is carried out safely and do not disrupt operations.  Attend to any maintenance or repair works to ensure that it is completed within the set timeline. 4. To assist engineer in the review of the traffic management plans within TMTS/SL.</p></li><li><p>To prepare and call quotations for buildings and the facility’s infrastructure   maintenance. Successful candidates will also need to review and ensure sufficient supply of spare parts for landfill equipment. </p></li><li><p>To perform any other works, duties and responsibilities as assigned by supervisors.</p></li></ul><p></p><p><strong>",National Environment Agency,Engineering
187,Assistant Manager/Manager (Exhumation and Cremation Management Section),"</strong></p>You will be working in the Memorial Services and Operations Division within the Public Health Services and Capabilities Group and assist the section to provide after-death care services at government cemetery and crematorium office.<p></p><p><strong> </strong></p><p>Requirements:</p><ul><li>Experience in managing a team</li><li>Have good problem-solving, writing &amp; communication skills, and be mature, independent, responsible, and resourceful.</li><li>A good team player with excellent communication, interpersonal and investigation skills.</li><li>Have physical stamina to carry out field work every day, and to withstand exposure to weather conditions.</li><li>Able and willing to work after office hours, on weekends and public holidays, and to work in after-death environment.</li><li>Organised and able to multi-task</li><li>Possess a Class 3 driving licence will be an advantage</li></ul><p></p><p>Applicants will be updated on the status of their applications within 4 weeks of the closing date of this job posting.</p> </strong></p><p>You will be responsible for the following:</p><ul><li>Lead a team to oversee the application processing, carry out site preparatory works, such as ground survey, verify documents, plot layout plan and clean up burial records of the affected graves prior to physical exhumation</li><li>Assist to schedule and keep track in exhumation-related operation involving claimants</li><li>Manage registered exhumation and niche contractors and other parties involved in exhumation related projects</li><li>Attend to public feedback and enquiries, including handling difficult customers and putting up recommendations to challenging cases</li><li>Track and monitor ground situations, including statistics collation and reports preparation</li><li>Perform other duties assigned by supervisor, and other operational work (Qing Ming operations, 7th month and other festivals operations, etc.) at the CCK Cemetery complex</li></ul><p></p><p><strong>",National Environment Agency,Building and Estate Management
188,Senior Engineer (Building Development Department) - Contract,"</strong></p>The Building Development Department (BDD) oversees the development, re-development and refurbishment of infrastructure owned by the Ministry of Sustainability and the Environment (MSE) and National Environment Agency (NEA), including hawker centres and after-death facilities. As a Senior Engineer (BDD), you will be part of this team to develop these facilities.<p></p><p><strong> </strong></p><ul><li><p>Degree in Engineering/Architecture/Building/Project management with at least 5 years of relevant working experience in consultancy / building industry.  Preferably experience in leading multi-disciplinary project teams or equivalent.</p></li><li><p>Ability to foresee risks and propose mitigation measures</p></li><li><p>Analytical with good writing and communication skills</p></li><li><p>Understanding of existing and emerging building technologies to analyse and implement them in Hawker Centres, After Death Facilities or any NEA facilities</p></li><li><p>Mature, independent, resourceful and self-motivated</p></li><li><p>Team player with strong interpersonal skills</p></li><li><p>As part of the shortlisting process for this role, you may be required to complete a medical declaration and/or undergo further assessment.</p></li></ul> </strong></p><p>The role requires you to:</p><ul><li><p>Oversee and undertake project management for development of MSE/NEA facilities such as after death facilities, hawker centre and markets, etc</p></li><li><p>Lead multi-disciplinary consultant team to monitor and manage projects to ensure that the projects are on schedule and costs are within the approved budget</p></li><li><p>Manage procurement work including but not limited to drafting contract specifications, calling and evaluating quotations and tenders</p></li><li><p>Plan cashflow budget and monitor utilization.</p></li><li><p>Ensure good governance in the administration of the contracts for consultancy, Builder’s works or other specialised services works required for the development of the projects.</p></li><li><p>Work with user departments on their requirements for implementation into project deliverables</p></li><li><p>Manage feedback and appeals related to the projects</p></li></ul><p></p><p><strong>",National Environment Agency,Engineering
189,"Senior Manager (Special Project), NW CDC","</strong></p>To support the Assistant Director (Special Project) in the formulation of Community Development Council's Jobs Nearby @ CDC initiative and related employment programmes, and lead their implementation in the district, overseeing team operations and stakeholder partnerships to connect residents with employment opportunities.<p></p><p><strong> </strong></p><p>Other ad-hoc duties not covered under main responsibilities and duties.</p><p></p><ul><li>Task Forces/Committees as required.</li><li>Performs other duties as assigned by CDC</li></ul><p></p><p><strong>Knowledge &amp; Skills</strong></p><ul><li>At least 3 years’ experience in outreach, career and skills advisory, community engagement, HR/recruitment, workforce development, or related fields.</li></ul><p><strong>          </strong></p><ul><li>Knowledge of 2nd language (e.g. Mandarin, Malay, Tamil or dialects) to effectively engage with diverse residents in the community.</li></ul><p></p><ul><li>Strong interpersonal and communication skills, with the ability to engage stakeholders from residents to employers.</li></ul><p></p><ul><li>Strong project management skills, with the ability to balance strategy with hands-on execution.<br /> </li><li>Independent, resourceful and results-driven, with the ability to exercise initiative and work under minimal supervision.<br /> </li></ul> </strong></p><p>Key duties and responsibilities that need to be performed to meet the primary objective of the job.  This will include the important result areas (what) along with the rationale (why).<br /> </p><ul><li>Lead, manage and supervise a team of Managers (Ms) and Job Ambassadors (JAs) to deliver programme outcomes and meet key performance indicators (KPIs).</li></ul><p></p><ul><li>Support the Assistant Director (AD) to oversee the overall programme budgeting, marketing and communication efforts the obs Nearby &#64; CDC initiative.</li></ul><p></p><ul><li>Lead implementation of outreach strategies to raise awareness about the programme, seek out and connect with resident jobseekers.</li></ul><p></p><ul><li>Expand employer partnerships, build strong relationships and deepen employer engagement to grow a vibrant network of community-based jobs.</li></ul><p></p><ul><li>Recruit, train and mentor JAs and Ms to strengthen ground operations and capabilities.</li></ul><p></p><ul><li>Plan, coordinate and execute events such as job fairs, learning festivals and/or neighbourhood activations.</li></ul><p></p><ul><li>Provide guidance to JAs and Ms on effective engagement processes with jobseekers and employers.</li></ul><p></p><ul><li>Ensure proper and consistent usage of programme systems and platforms by the team.</li></ul><p></p><ul><li>Support CDCs and Community Clubs/Centres (CCs) in engaging resident jobseekers and onboarding community-based employers.</li></ul><p></p><p><strong>",People's Association,Social and Community Development
190,Community Development Manager (Community Volunteer),"</strong></p>What the role is<br><br>You will support the Constituency Office (CO) in driving community volunteer (CV) management.<br><br>In addition, you will serve as an administrator and facilitator in the formation, development and consolidation of GROs at the constituency level, thereby promoting social cohesion, racial harmony and community bonding.<br><br>What you will be working on<br><br>Engagement with Internal and External Stakeholders<br>• Identify meaningful causes/ interests and volunteering opportunities of CVs (individuals/groups) across different sign-up platforms (e.g. referrals, Community Marketplace, CV Secretariat or PA units) and facilitate their engagement through existing/new projects<br><br>Partnership Management<br><br>• Map and work with the CO team to grow and cultivate CV individuals, groups/ networks at Division level<br>• Nurture CVs as PA advocates to fulfil PA’s People-to-People, People-to-Government or Government-to-People objectives<br>• Match volunteers and volunteer opportunities with internal and external stakeholders at Division level<br>• Share best practices with internal and external partners at suitable platforms<br><br>Marketing and Communications<br><br>• Promote the CV Scheme to increase public awareness and to obtain buy-in from current grassroots leaders and stakeholders in the Division<br>• Work with external partners to cross-share contents on each partner’s publicity platforms<br>• Curate and maintain an archive of CV stories and materials that depict the work of managing CVs<br>• Update calendar of local programmes which will support the overall CV marketing plan<br><br>Training and Development of CVs<br><br>• Work with other PA units and external partners to identify suitable training for (i) staff/ grassroots leaders; and (ii) CVs<br><br>Resource Planning<br>• Match and deploy CV-related resources within the CO (e.g. application of CV grant)<br>• Adhere to internal checks and controls, SOPs and templates for proper accounting, tracking and compliance<br><br>Data Management<br><br>• Submit templates to capture the data of CVs and their involvement at the Division<br>• Submit regular reports on CV management efforts and outcomes<br><br>What we are looking for<br><br>• Has a keen interest or experience in community work.<br>• Has a keen interest in current affairs, national policies and keeps updated about news in the community<br>• Able to write well in English. Has knowledge of Mandarin, Malay or Tamil, with the ability to speak and proofread written text<br>• Social media user; enjoys collaboration and networking<br>• Motivated Team player<br><br>(Only shortlisted candidates will be notified)<br>Shortlisted candidates will go through PA’s structured interview.<br>Successful candidates will be given a 3-year contract and deployed to the CO/CC.<p></p><p><strong> </strong></p><p>As above</p> </strong></p><p>As above</p><p></p><p><strong>",People's Association,Social and Community Development
191,Constituency Manager,"</strong></p>What you will be working on:<br><br>• Assist the Constituency Director to develop the CO’s annual communications plan, aligned with PA’s overall communications objectives and direction.<br>• Curate and maintain an archive of community stories and photographs that depict the work of the CO.<br>• Grow the CO’s social media presence. This involves managing the CO’s digital assets (social media and websites), including developing a monthly content calendar and producing relevant content such as social media posts, videos, and infographics; monitoring and responding to online conversations.<br>• Work with PAHQ and volunteers to develop and amplify content and disseminate communications materials.<br>• Monitor media reports and online conversations for opportunities and issues related to PA’s mission and programmes and prepare relevant reports.<br>• Oversee CO colleagues in the development of marketing communication materials (banners, posters, digital display panels) to ensure brand alignment as well as appropriateness of content and translation.<br>• Understand the demographic profile of specific groups in the local community.<br>• Develop programmes to engage the groups to be in tune with their sentiments and issues of concerns.<br>• Facilitate the formation of interest groups and local communication channels/networks to build/sustain relationships and increase community connectedness.<br>• Work with different partners (e.g. VWOs, educational institutions) to identify and grow local demographic-based networks in the community.<br>• Communicate government policies, gather feedback and channel feedback to appropriate government agencies.<br>• Formulate, implement and review plans for the development of GROs and the community.<br>• Plan and co-ordinate the recruitment, appointment and reappointment of volunteers and members of the GROs to ensure sufficient residential representation.<br>• Ensure proper accounting/procurement, fund utilisation and cash management of the GROs to comply with PA financial rules.<br><br>What we are looking for<br><br>• Has a keen interest or experience in communications, including social media.<br>• Has a keen interest in current affairs, national policies and keeps updated about news in the community.<br>• Able to write well in English. Has knowledge of Mandarin, Malay or Tamil, with the ability to speak and proofread written text.<br>• Social media user; enjoys social networking.<br>• Motivated Team player.<br><br><br>(Only shortlisted candidates will be notified)<br>Shortlisted candidates will go through PA’s structured interview.<br>Successful candidates will be given a 3-year contract and deployed to CO/CC.<p></p><p><strong> </strong></p><p><span>As above</span></p> </strong></p><p><span>As above</span></p><p></p><p><strong>",People's Association,Social and Community Development
192,"Assistant Director (Special Project), NW CDC","</strong></p>To lead the formulation, implementation, and review of the Community Development Council's Jobs Nearby @ CDC initiative and related employment programmes through effective team leadership, stakeholder partnerships, and ensuring alignment with PA's workforce development objectives to enhance employment outcomes for residents across the district.<p></p><p><strong> </strong></p><p>Other ad-hoc duties not covered under main responsibilities and duties.</p><p></p><ul><li>Task Forces/Committees as required.</li></ul><p></p><ul><li>Performs other duties as assigned by General Manager/Deputy General Manager</li></ul><p></p><p>Knowledge &amp; Skills:</p><p><strong>Experience       </strong></p><p>At least 5 years of relevant working experience with demonstrated leadership capabilities in workforce development, community engagement, or related fields</p><p></p><p>Prior experience in leading teams and possessing coaching and/or facilitation certification/experience would be an advantage.</p><p></p><p><strong>Others              </strong></p><p>Knowledge of 2nd language (e.g. Mandarin, Malay, Tamil or dialects) to effectively engage with diverse residents in the community.</p><p></p><p>Familiar with employment trends, workforce policies, training ecosystem in Singapore, with a good understanding of market salary benchmarks to guide employment recommendations and negotiations.</p><p></p><p>Strong leadership, people management, and stakeholder management skills</p><p></p><p>Able to communicate effectively across diverse groups (residents, employers, merchants, community partners and grassroots leaders).</p><p>Analytical, proactive, and able to design outreach strategies that meet both community and organisational goals.</p> </strong></p><p>Key duties and responsibilities that need to be performed to meet the primary objective of the job.  This will include the important result areas (what) along with the rationale (why).<br /> </p><ul><li> Lead the formulation, implemention and review plans of CDC&#39;s Jobs Nearby &#64; CDC initiative and employment programmes, to achieve CDC’s mission.</li></ul><p></p><ul><li>Work closely with Deputy General Manager and Senior Manager in developing staff capabilities and building an effective team to support programme implementation.</li></ul><p></p><ul><li>Lead the Jobs Assistance team in jobs assistance programmes, inter-CDC programmes, and any other programmes assigned by General Manager/Deputy General Manager.</li></ul><p></p><ul><li>Leadand guide Senior Managers and Managers in job clinics operations, job seekers support programmes and employers’ engagement strategies.</li></ul><p></p><ul><li>Oversee vendor and partner relationships to ensure high quality and consistent training for Job Ambassadors to provide high-touch job assistance.</li></ul><p></p><ul><li>Develop strategic outreach plans to increase CDC awareness and participation in the job advisory services.</li></ul><p></p><ul><li>Lead the team in building and maintaining partnerships with employers, merchants, Small Medium Enterprise (SMEs), corporate partners, training providers, Grassroots Organisations, and community partners.</li></ul><p></p><ul><li>Oversee the team’s management of case referrals and queries from the public, inter-agency partners, and other platforms, ensuring effective resolution and coordination of support.</li></ul><p></p><ul><li>Ensure efficient collection of data collection processes and oversee analysis of job placement outcomes, employer engagement statistics,job vacancy data, and key trends to develop strategies to better support job seekers and for reporting to CDC and PA HQ management.</li></ul><p></p><ul><li>Develop partnerships with other stakeholders in district-wide career events and upskilling workshops.</li></ul><p></p><ul><li>Provide leadership and guidance to Senior Managers and Managers to ensure operational targets are met and oversee development of proposal papers for CDC management.</li></ul><p></p><ul><li>Monitor and evaluate programme performance, submit necessary reports, provide feedback, recommend changes and improvements to Council and PA Headquarters, thereby facilitating communication and coordination between the Council and PA.</li></ul><p></p><ul><li>Provide guidance and coordination support to the Council, GROs and project joint partners to facilitate effective implementation of their activities.</li></ul><p></p><ul><li>Formulate workplans and budget with District Councillors of Standing Committees in the CDC.</li></ul><p></p><p><strong>",People's Association,Social and Community Development
193,"Job Ambassador, SW CDC","</strong></p>To manage the engagement of resident jobseekers and coordinate onboarding of community employers to the Jobs Nearby @ CDC scheme, connecting residents through localised workforce development and job matching initiatives.<p></p><p><strong> </strong></p><p><span>Other ad-hoc duties not covered under main responsibilities and duties.</span></p><p></p><p></p><p><strong>Knowledge &amp; Skills</strong></p><p></p><p><strong>Experience      </strong></p><ul><li>Knowledge in outreach, career and skills advisory, community engagement, HR/recruitment, or workforce development.</li></ul><p></p><p><strong>Others             </strong></p><ul><li>Knowledge of 2nd language (e.g. Mandarin, Malay, Tamil or dialects) to effectively engage with diverse residents in the community.</li></ul><p></p><ul><li>Good interpersonal communication skills and able to handle employer / jobseeker enquiries with basic knowledge of job market trends, workforce policies, etc.</li></ul><p></p><ul><li>Ability to work independently across different community locations and open to frequent travel within the district.</li></ul><p></p><ul><li>Flexibility to work  evenings, weekends and public holidays when required</li></ul><p></p><ul><li>Ability to conduct outdoor engagement activities and community outreach.</li></ul><p></p><ul><li>Proactive, persuasive and resourceful.</li></ul><p></p> </strong></p><p>Key duties and responsibilities that need to be performed to meet the primary objective of the job.  This will include the important result areas (what) along with the rationale (why).<br /> </p><ul><li> Manage the engagement of resident jobseekers and coordinate onboarding of community employers to the Jobs Nearby &#64; CDC scheme across CDCs and CCs.</li></ul><p></p><ul><li>Provide personalised guidance to resident jobseekers (e.g. listen with empathy, understand challenges, and guide jobseekers step-by-step in their job search journey).</li></ul><p></p><ul><li>Coordinate with employers (e.g. SMEs, neighbourhood businesses, community-based employers) and vendors to facilitate job seeker profiles creation, posting listings management, and effective utilisation of the job portal.</li></ul><p></p><ul><li>Guide jobseekers in setting up digital profiles, uploading documents, and navigating job portals or related platforms to apply for jobs.</li></ul><p></p><ul><li>Facilitate connections between jobseekers and employers through face-to-face or online platforms, including on-the-spot interviews.</li></ul><p></p><ul><li>Monitor jobseekers’ progress and outcomes, conduct regular follow-ups, and review service delivery processes (e.g. post-interview, post-placement, etc) to continuously improve the experience for both jobseekers and employers.</li></ul><p></p><ul><li>Expand employer networks and build relationships to strengthen engagement.</li></ul><p></p><ul><li>Organise and participate in events such as job fairs, learning festivals, and outreach activities to link jobseekers with employers.</li></ul><p></p><ul><li>Track and report data on jobseeker registrations, employer sign-ups, and success stories for monitoring and evaluation.</li></ul><p></p><ul><li>Provide operational guidance to new Job Ambassadors during onboarding to ensure familiarity with daily operations.</li></ul><p></p><p><strong>",People's Association,Social and Community Development
